ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6040215,Hospital Perea,15 Basora Street,Mayaguez,681,PR,United Medical Corporation,Non-Profit,N/A unable to find,,,,,,,,,
6048008,Hospital Psiquiatrico Correccional,PMB 302 P O Box 70344,San Juan,936,PR,,,N/A unable to find,,,,,,,,,
6040369,Hospital Psiquiatrico Metropolitano,108 Munoz Rivera Street,Cabo Rojo,00623-4060,PR,,,N/A unable to find,,,,,,,,,
6040396,Hospital San Antonio,Calle Dr Ramon Emeterio Betances N #18,Mayaguez,680,PR,,,N/A unable to find,,,,,,,,,
6040011,Hospital San Carlos Borromeo,550 Concepcion Vera Ayala,Moca,676,PR,,,N/A unable to find,,,,,,,,,
6040012,Hospital San Cristobal,506 Carr Road,Coto Laurel,780,PR,,,N/A unable to find,,,,,,,,,
6040002,Hospital San Francisco,371 Avenida De Diego,San Juan,00923-1711,PR,United Medical Corporation,,N/A unable to find,,,,,,,,,
6040395,Hospital San Gerardo,138 Avenue Winston Churchill,San Juan,00926-6013,PR,,,N/A unable to find,,,,,,,,,
6040055,Hospital San Pablo,Calle Santa Cruz 70,Bayamon,00961-7020,PR,,,N/A unable to find,,,,,,,,,
6040110,Hospital San Pablo Del Este,"Avenida General Valero, 404",Fajardo,738,PR,,,N/A unable to find,,,,,,,,,
6040294,Hospital Universitario Dr. Ramon Ruiz Arnau,"Avenue Laurel #100, Santa Juanita",Bayamon,956,PR,Puerto Rico Department of Health,,N/A unable to find,,,,,,,,,
6040445,I. Gonzalez Martinez Oncologic Hospital,Puerto Rico Medical Center,Hato Rey,935,PR,,,N/A unable to find,,,,,,,,,
6040448,Industrial Hospital,Puerto Rico Medical Center,San Juan,936,PR,,,N/A unable to find,,,,,,,,,
6040349,INSPIRA Ponce,"Calle Guadalupe, #184, Piso2",Ponce,730,PR,INSPIRA Behavioral Care Corp,Unable to Find,N/A unable to find,,,,,,,,,
6040192,Mennonite General Hospital,Calle Jose C Vasquez,Aibonito,705,PR,SSM,Non-Profit,N/A unable to find,,,,,,,,,
6040382,Metropolitano De La Montana,Calle Issac Gonzalez Martinez,Utuado,641,PR,Metro Pavia Health,For-Profit,N/A unable to find,,,,,,,,,
6040374,Professional Hospital Guaynabo,Carretera 199 Km 1.2 Avenue,Guaynabo,969,PR,"Professional Hospital Guaynabo, Inc",For-Profit,N/A unable to find,,,,,,,,,
6040170,Ryder Memorial Hospital,355 Font Martelo Street,Humacao,00791-3249,PR,"Ryder Memorial Hospital, Inc.",Non-Profit,N/A unable to find,,,,,,,,,
6040444,San Jorge Children & Women's Hospital,"258 San Jorge Street, Santurce",San Juan,00912-3310,PR,United Medical Corporation,Unable to Find,N/A unable to find,,,,,,,,,
6040405,San Juan Capestrano Hospital,"Rural Route 2, Box 11",San Juan,926,PR,"Acadia Healthcare Company, Inc.",Unable to Find,N/A unable to find,,,,,,,,,
6040377,San Juan City Hospital,Puerto Rico Medical Center,San Juan,928,PR,,Non-Profit,N/A unable to find,,,,,,,,,
6040260,St. Luke's Episcopal Hospital,917 Tito Castro Avenue,Ponce,00731-4717,PR,San Lucas Episcopal Health System,Non-Profit,N/A unable to find,,,,,,,,,
6040050,University Hospital,Nineyas 869 Rio Piedras,San Juan,922,PR,Puerto Rico Department of Health,Unable to Find,N/A unable to find,,,,,,,,,
6040500,University Pediatric Hospital,"Barrio Monacenno, Carretera 22",Rio Piedras,935,PR,Puerto Rico Department of Health,Unable to Find,N/A unable to find,,,,,,,,,
6040400,Veterans Affairs Caribbean Healthcare System,10 Casia Street,San Juan,00921-3201,PR,Department of Veterans Affairs,Unable to Find,N/A unable to find,,,,,,,,,
6040001,Wilma N. Vazquez Medical Center,Carretera #2 Km,Vega Baja,693,PR,,For-Profit,N/A unable to find,,,,,,,,,
